Sample Date,Site,SARS-Cov-2 normalized viral signal,Avg SARS-Cov-2 normalized viral signal
1-Jan-21,Ashbridges Bay,,
1-Jan-21,Highland Creek,,
1-Jan-21,Humber,,
2-Jan-21,Ashbridges Bay,,
2-Jan-21,Highland Creek,,
2-Jan-21,Humber,,
3-Jan-21,Ashbridges Bay,,
3-Jan-21,Highland Creek,,
3-Jan-21,Humber,,
4-Jan-21,Ashbridges Bay,,
4-Jan-21,Highland Creek,,
4-Jan-21,Humber,35.924,35.924
5-Jan-21,Ashbridges Bay,,
5-Jan-21,Highland Creek,,
5-Jan-21,Humber,39.095,37.509
6-Jan-21,Ashbridges Bay,,
6-Jan-21,Highland Creek,,
6-Jan-21,Humber,,37.509
7-Jan-21,Ashbridges Bay,,
7-Jan-21,Highland Creek,,
7-Jan-21,Humber,57.076,44.032
8-Jan-21,Ashbridges Bay,,
8-Jan-21,Highland Creek,,
8-Jan-21,Humber,,44.032
9-Jan-21,Ashbridges Bay,,
9-Jan-21,Highland Creek,,
9-Jan-21,Humber,,44.032
10-Jan-21,Ashbridges Bay,,
10-Jan-21,Highland Creek,,
10-Jan-21,Humber,,44.032
11-Jan-21,Ashbridges Bay,,
11-Jan-21,Highland Creek,,
11-Jan-21,Humber,25.196,40.456
12-Jan-21,Ashbridges Bay,,
12-Jan-21,Highland Creek,,
12-Jan-21,Humber,43.162,41.811
13-Jan-21,Ashbridges Bay,,
13-Jan-21,Highland Creek,,
13-Jan-21,Humber,,41.811
14-Jan-21,Ashbridges Bay,,
14-Jan-21,Highland Creek,,
14-Jan-21,Humber,57.537,41.965
15-Jan-21,Ashbridges Bay,,
15-Jan-21,Highland Creek,,
15-Jan-21,Humber,,41.965
16-Jan-21,Ashbridges Bay,,
16-Jan-21,Highland Creek,,
16-Jan-21,Humber,,41.965
17-Jan-21,Ashbridges Bay,,
17-Jan-21,Highland Creek,,
17-Jan-21,Humber,,41.965
18-Jan-21,Ashbridges Bay,,
18-Jan-21,Highland Creek,,
18-Jan-21,Humber,37.873,46.191
19-Jan-21,Ashbridges Bay,,
19-Jan-21,Highland Creek,,
19-Jan-21,Humber,8.596,34.669
20-Jan-21,Ashbridges Bay,,
20-Jan-21,Highland Creek,,
20-Jan-21,Humber,,34.669
21-Jan-21,Ashbridges Bay,,
21-Jan-21,Highland Creek,,
21-Jan-21,Humber,13.874,20.114
22-Jan-21,Ashbridges Bay,,
22-Jan-21,Highland Creek,,
22-Jan-21,Humber,,20.114
23-Jan-21,Ashbridges Bay,,
23-Jan-21,Highland Creek,,
23-Jan-21,Humber,,20.114
24-Jan-21,Ashbridges Bay,,
24-Jan-21,Highland Creek,,
24-Jan-21,Humber,,20.114
25-Jan-21,Ashbridges Bay,,
25-Jan-21,Highland Creek,,
25-Jan-21,Humber,14.638,12.369
26-Jan-21,Ashbridges Bay,,
26-Jan-21,Highland Creek,,
26-Jan-21,Humber,11.683,13.398
27-Jan-21,Ashbridges Bay,,
27-Jan-21,Highland Creek,,
27-Jan-21,Humber,,13.398
28-Jan-21,Ashbridges Bay,,
28-Jan-21,Highland Creek,,
28-Jan-21,Humber,46.111,24.144
29-Jan-21,Ashbridges Bay,,
29-Jan-21,Highland Creek,,
29-Jan-21,Humber,,24.144
30-Jan-21,Ashbridges Bay,,
30-Jan-21,Highland Creek,,
30-Jan-21,Humber,,24.144
31-Jan-21,Ashbridges Bay,,
31-Jan-21,Highland Creek,,
31-Jan-21,Humber,,24.144
1-Feb-21,Ashbridges Bay,,
1-Feb-21,Highland Creek,,
1-Feb-21,Humber,4.951,20.915
2-Feb-21,Ashbridges Bay,,
2-Feb-21,Highland Creek,,
2-Feb-21,Humber,16.171,22.411
3-Feb-21,Ashbridges Bay,,
3-Feb-21,Highland Creek,,
3-Feb-21,Humber,,22.411
4-Feb-21,Ashbridges Bay,,
4-Feb-21,Highland Creek,,
4-Feb-21,Humber,4.887,8.67
5-Feb-21,Ashbridges Bay,,
5-Feb-21,Highland Creek,,
5-Feb-21,Humber,,8.67
6-Feb-21,Ashbridges Bay,,
6-Feb-21,Highland Creek,,
6-Feb-21,Humber,,8.67
